category,subcategory,subcategory_url,name,websites,phones,address,zipcode,emails,description
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Assessment & Treatment Alternatives: TAP Program information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=AssessmentTreatmentAlternativesTAPProgram_1147_12_0,http://atainc.org/services/tap.html","(215) 405-2100  ","1225 Vine Street  Philadelphia , PA  19107 ","19107","atainc@dca.net ","Assessment & Treatment Alternatives: TAP Program information provided by: the Pennsylvania Prison Society Assessment & Treatment Alternatives (ATA) is a non-profit, Forensic Mental Health Clinic. ATA specializes in the assessment and treatment formulation for children, adolescents and adults with severe emotional and behavioral problems who are involved in the legal system. Provides a range of forensic mental health services in Philadelphia and the surrounding counties. their staff include psychiatrists, psychologists, social workers, and case managers. Intensive and ongoing education, training and supervision for their staff, insure patients have access to the most experienced clinicians. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Community Support Program information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=CommunitySupportProgram_1147_12_0","(215) 685-4768 ","1101 Market Street, 7th Fl.  Philadelphia , PA  19107 ","19107","Michelle.khan@phila.gov ","Community Support Program information provided by: the Pennsylvania Prison Society Provides mental health counseling services. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Community Behavioral Health information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=CommunityBehavioralHealth_1147_12_0,http://dbhids.org/community-behavioral-health/","(215) 413-3100 ,(888) 545-2600 ","801 Market St., 7th Fl.  Philadelphia , PA  19107 ","19107","","Community Behavioral Health information provided by: the Pennsylvania Prison Society Serving Philadelphia's uninsured, underinsured, and Medicaid-eligible patients. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Conewago information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=Conewago_1147_12_0,http://www.firetree.com/da-conewago-place-inpatient.asp","(717) 533-0428  ","424 Nye Road  Hummelstown , PA  17036 ","17036","conewagopl@firetree.com ","Conewago information provided by: the Pennsylvania Prison Society Provides mental health services for men and women. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Children's Service, Inc. information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ChildrensServiceInc_1147_12_0,http://www.csichild.org/","(215) 546-3503 ","1315 Walnut St.  Philadelphia , PA  19107 ","19107","info@csichild.org ","Children's Service, Inc. information provided by: the Pennsylvania Prison Society Offers Outpatient mental/behavioral health rehabilitation services. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","COMHAR (formerly Community Organization for Mental Health and Retardation) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=COMHARformerlyCommunityOrganizationforMentalHealthandRetardation_1147_12_0,http://comhar.org/","(215) 203-3000 ","100 West Lehigh Avenue  Philadelphia , PA  19133 ","19133","","COMHAR (formerly Community Organization for Mental Health and Retardation) information provided by: the Pennsylvania Prison Society Provides a wide variety of programs for individuals and families affected by mental health or intellectual disability issues.  "
"Employment","Job Search/Placement","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=ND-3500.3600&cid=38538","North CareerLink information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=NorthCareerLink_1147_12_0,http://www.cwds.state.pa.us","(215) 560-5465 ","990 Spring Garden St.  Philadelphia , PA  19123 ","19123","","North CareerLink information provided by: the Pennsylvania Prison Society Provides employment opportunities through out Pennsylvania "
"Behavioral & Mental Health","Caregiver Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-145&cid=38542","Caring People Alliance: Fels South Philadelphia Community Center information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=CaringPeopleAllianceFelsSouthPhiladelphiaCommunityCenter_1147_12_0,http://www.caringpeoplealliance.org/index.php?option=com_content&view=article&id=10:fels-s..","(215) 218-0800 ","2407 South Broad Street  Philadelphia , PA  19148 ","19148","info@caringpeoplealliance.org ","Caring People Alliance: Fels South Philadelphia Community Center information provided by: the Pennsylvania Prison Society Focuses on giving parents the skills to deal with child non-compliance, day care, mentors and parent respite. "
"Behavioral & Mental Health","Adolescent/Youth Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-050&cid=38542","Community Treatment Team information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=CommunityTreatmentTeam_1147_12_0,http://www.pmhcc.org/index.php/programs/philadelphia-community-treatment-teams","(215) 923-8042  ","520 N. Columbus Blvd 4th Floor  Philadelphia , PA  19123 ","19123","","Community Treatment Team information provided by: the Pennsylvania Prison Society Provides therapy and case management to the mentally ill. "
"Family Services","Family Violence Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-4500.1800&cid=38539","COMHAR (formerly Community Organization for Mental Health and Retardation) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=COMHARformerlyCommunityOrganizationforMentalHealthandRetardation_1147_12_0,http://comhar.org/","(215) 203-3000 ","100 West Lehigh Avenue  Philadelphia , PA  19133 ","19133","","COMHAR (formerly Community Organization for Mental Health and Retardation) information provided by: the Pennsylvania Prison Society Provides a wide variety of programs for individuals and families affected by mental health or intellectual disability issues.  "
