'HIV Testing and Couseling','260 South Broad Street','19th Floor','','Philadelphia','PA','19102','215.985.2600','.','www.familyplanning.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9472751478657,-75.1651999402849
'Gathering Places','2300 Chestnut Street','','','Philadelphia','PA','19103','215.299.4000','.','redcross-philly.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9524575908756,-75.1785270612695
'Meal Delivery for AIDS Patients','12 South 23rd Street','','','Philadelphia','PA','19103','215.496.2662 ext122','.','mannapa.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9539110642587,-75.1781901427412
'Confidential HIV Testing','1642 Pine Street','','','Philadelphia','PA','19103','215.735.1911','.','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9459365093897,-75.1697823109784
'Adolescent HIV Initiative','3401 Civic Center Boulevard','','','Philadelphia','PA','19104','215.590.4308','.','www.chop.edu','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9484361757267,-75.1947110802254
'Circle of Care/Rhone-Poulenc Rorer Immunology Center','3401 Civic Center Boulevard','','','Philadelphia','PA','19104','215.590.2956','.','www.chop.edu','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9484361757267,-75.1947110802254
'Life Directions Program','3401 Civic Center Boulevard','','','Philadelphia','PA','19104','215.590.4530','.','www.chop.edu','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9484361757267,-75.1947110802254
'Supportive Therapy for AIDS Affected Relatives (STAAR) Program','225 South 3rd Street','','','Philadelphia','PA','19106','215.351.1476','.','www.ecs1870.org','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9468291620957,-75.1462094620709
'HIV/STD Education and Prevention','1211 Chestnut Street','8th Floor','','Philadelphia','PA','19107','215.496.9560','215.5570769','','','6/16/2005','HIV/AIDS Outreach','','','','','',39.9507606488598,-75.1607139852845
'Project TEACH','1233 Locust Street','','','Philadelphia','PA','19107','215.985.4448','.','','','6/16/2005','HIV/AIDS Outreach','','','','','',39.9480845907979,-75.1617579604554
'Community AIDS Hotline','1233 Locust Street','Suite 301','','Philadelphia','PA','19107','215.985.2437','.','','','6/16/2005','HIV/AIDS Outreach','','','','','',39.9480845907979,-75.1617579604554
'Bilingual Safer Sex Education','1233 Locust Street','','','Philadelphia','PA','19107','215.985.3382','.','','','6/16/2005','HIV/AIDS Outreach','','','','','',39.9480845907979,-75.1617579604554
'HIV/AIDS Emergency Food Cupboard','1201 Chestnut Street','3rd floor','','Philadelphia','PA','19107','215.563.0652','.','info@mazzonicenter.org','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9507078122696,-75.1603199140269
'Legal Services','1211 Chestnut Street','Suite 600','','Philadelphia','PA','19107','215.587.9377','.','','','6/15/2005','HIV/AIDS Outreach','','','','','',39.9507606488598,-75.1607139852845
'AIDS Activities Coordinating Office (AACO)','1011 Market Street','','','Philadelphia','PA','19107','215.685.5600','.','www.phila.gov/health','','6/20/2005','HIV/AIDS Outreach','','','','','',39.9520058411194,-75.1572373008876
'Support Groups for Adolescents with HIV','1144 Locust Street','','','Philadelphia','PA','19107','215.351.5560','.','','','6/16/2005','HIV/AIDS Outreach','','','','','',39.9474589653866,-75.1606863654969
'Jonathan Lax Center','1233 Locust Street','','','Philadelphia','PA','19107','215.985.4448','.','','','6/16/2005','HIV/AIDS Outreach','','','','','',39.9480845907979,-75.1617579604554
'HIV/AIDS Services','1201 Chestnut Street','Suite 501','','Philadelphia','PA','19107','215.563.2424','.','','','6/16/2005','HIV/AIDS Outreach','','','','','',39.9507078122696,-75.1603199140269
