'Industrial Training & Testing Institute','2251 Fraley Street','','','Philadelphia','PA','19137','215.744.1008','','','','6/15/2005','','','','','','',40.0107692935516,-75.0636149496557
'Lincoln Technical Institute','9191 Torresdale Avenue','','','Philadelphia','PA','19136','215.335.0800','','http://www.lincolntech.com','','6/15/2005','','','','','','',40.0503004063368,-75.0000797164367
'Rittenhouse Academy','1516 Spruce Street','','','Philadelphia','PA','19102','215.545.5600','','http://libwww.library.phila.gov','','6/15/2005','','','','','','',39.9470314123543,-75.1674250208993
'Star Technical Institute','9121 Roosevelt Boulevard','','','Philadelphia','PA','19114','215.969.5877','','http://www.startechinstitute.com','','6/15/2005','','','','','','',40.0751888144675,-75.0324381688329
'American Real Estate Academy','3901 Kensington Ave','','','Philadelphia','PA','19124','215.537.9900','','','','6/15/2005','','','','','','',40.0055271379821,-75.0965926955641
'Andrew J Gress Graphic Arts','1310 E Sedgley Ave','','','Philadelphia','PA','19134','215.533.8550','215.535.5497','http://www.ggai.com/','ggai@ggai.com','6/20/2005','Non-profit training center for the graphic arts and technology.','http://www.hellophiladelphia.com','','','','free off street',40.0026530919189,-75.1029580698821
'Apprentice Training for Electrical Industry','1719 Spring Garden St','','','Philadelphia','PA','19130','215.564.9076','','http://www.nationalponsi.org/ccr/Listings/phil_jatc_home.htm','','6/15/2005','','http://www.hellophiladelphia.com','','','','',39.9635751336438,-75.1671815576269
'Cathedral Village','600 E Cathedral Rd','','','Philadelphia','PA','19128','215.984.8622','','http://www.cathedralvillage.com','','6/15/2005','','google','','','','',40.0653301246529,-75.240898245879
'Century 21 Action','6733 Castor Ave','','','Philadelphia','PA','19149','215.342.6655','','','','6/15/2005','','','','','','',40.0437406911427,-75.0728330425758
'Clinical Pathway Educators In','4918 Penn St','','','Philadelphia','PA','19124','215.831.6740','','','','6/15/2005','','','','','','',40.0202766456741,-75.083004434423
'Community College Philadelphia','4725 Chestnut St','','','Philadelphia','PA','19130','215.751.8415','','http://www.ccp.edu','','6/15/2005','','http://www.hellophiladelphia.com','','','','',39.9577959736873,-75.2164026074127
'Crown Food & Beverage Institute','12052 Bustleton Ave','','','Philadelphia','PA','19102','215.934.6084','','','','6/15/2005','','','','','','',40.1235741699536,-75.0162949425942
'Delaware Valley Academy','3330 Grant Ave','','','Philadelphia','PA','19114','215.676.1200','','http://www.delawarevalleyacademy.com/','delvalacad@aol.com','6/16/2005','','http://www.hellophiladelphia.com','','','','',40.0683281153276,-75.0066571435628
